1539876750,0123105d38,0.0000,-1.0156,0.0156,2.9375
1539876746,01231080e3,0.0781,-1.0000,0.0156,0.3750
1539876741,0123106f9d,0.0156,-1.0156,-0.0156,6.7500
1539876741,0123105d70,-0.0156,-1.0000,0.0312,6.8125
1539876737,0123106ee0,0.0156,-1.0469,0.0156,0.0625
1539876736,0123104f06,0.0000,-1.0313,0.0000,4.2500
1539876733,01231048d9,-0.0156,-1.0000,-0.0312,2.3125
1539876731,0123105d69,0.0000,-1.0000,0.0000,-13.5000
1539876730,0123105ca8,-0.0312,0.0625,0.9063,-22.6875
1539876726,0123105be2,-0.0156,-1.0156,-0.0156,1.0625
1539876726,0123104d47,-0.0156,-1.0000,0.0156,0.6875
1539876724,0123102312,0.0625,-0.0312,0.9844,-13.9375
1539876720,01231048e9,-0.5625,-0.8438,0.0000,-35.2500
1539876719,0123104997,-0.0156,-1.0156,0.0156,-25.8750
1539876718,0123106fa0,-0.0312,-0.9844,-0.0156,4.8125
1539876716,01231034bf,0.0156,-1.0000,0.0000,3.3125
1539876715,0123105bf8,-0.0312,-0.0156,0.9844,-16.9375
1539876714,012310498d,0.0000,-1.0156,-0.0312,9.8750
1539876714,0123104e76,-0.0312,0.1250,1.0469,6.6875
1539876709,01231080f5,-0.2188,-0.2500,0.9375,-1.3125
1539876707,0123107045,0.7500,-0.6406,-0.1875,1.3125
1539876706,01231033f6,0.0000,-1.0156,-0.0156,-18.5000
1539876704,01231034f3,-0.0156,0.0000,1.0313,3.0000
1539876701,0123105b3b,-0.0312,-1.0156,0.0312,-0.8750
1539876701,01231033ed,0.0312,-1.0156,-0.0156,-0.3750
1539876700,0123105d2e,0.0000,-1.0000,0.0000,2.6250
1539876699,0123103599,0.0000,-0.0156,0.9531,-16.5625
1539876698,0123105bd4,-0.0469,-1.0000,0.0312,7.5000
1539876697,01231034be,0.0469,-1.0625,-0.0469,-20.6250
1539876696,0123105b31,0.0938,-1.0156,-0.0469,3.7500
